"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","source","id","type"
"Feverish Stock Price Reactions to COVID-19*","Stefano Ramelli; Alexander F. Wagner","2020","The Review of Corporate Finance Studies","1225","True","https://academic.oup.com/rcfs/article-pdf/9/3/622/33880074/cfaa012.pdf","https://doi.org/10.1093/rcfs/cfaa012","Market reactions to the 2019 novel coronavirus disease (COVID-19) provide new insights into how real shocks and financial policies drive firm value. Initially, internationally oriented firms, especially those more exposed to trade with China, underperformed. As the virus spread to Europe and the United States, corporate debt and cash holdings emerged as important value drivers, relevant even after the Fed intervened in the bond market. The content and tone of conference calls mirror this development over time. Overall, the results illustrate how anticipated real effects from the health crisis, a rare disaster, were amplified through financial channels.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3122263577","article"
"Real Effects of the Sovereign Debt Crisis in Europe: Evidence from Syndicated Loans","Viral V. Acharya; Tim Eisert; Christian Eufinger; Christian Hirsch","2018","Review of Financial Studies","366","True","https://pure.eur.nl/ws/files/47878588/RePub-111941.pdf","https://doi.org/10.1093/rfs/hhy045","We explore the causes of the credit crunch during the European sovereign debt crisis and its impact on the corporate policies of European firms. Our results show that value impairment in banks’ exposures to sovereign debt and the risk-shifting behavior of weakly capitalized banks reduced the probability of firms being granted new syndicated loans by up to 53%. This lending contraction depressed investment, employment, and sales growth of firms affiliated with affected banks. Our estimates based on firm-level data suggest that the credit crunch explains between 44% and 66% of the overall negative real effects suffered by European firms. Received April 5, 2016; editorial decision February 3, 2018 by Editor Andrew Karolyi. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3123541727","article"
"Cash Holdings and Labor Heterogeneity: The Role of Skilled Labor","Mohamed Ghaly; Viet Anh Dang; Konstantinos Stathopoulos","2017","Review of Financial Studies","264","True","https://www.research.manchester.ac.uk/portal/en/publications/cash-holdings-and-labor-heterogeneity-the-role-of-skilled-labor(ddd146f6-d853-429c-9601-d49b6601fee0).html","https://doi.org/10.1093/rfs/hhx045","Firms differ in their dependence on skilled labor and face labor adjustment costs that increase with their workers’ skill level. We show that firms with a higher share of skilled workers, and thus less flexibility to adjust their labor demand in response to cash flow shocks, hold more precautionary cash. The effect of labor skills on cash holdings is more pronounced for financially constrained firms and varies with exogenous differences in firing and hiring costs. We address endogeneity concerns by using subsamples of firms with reasonably similar characteristics, propensity score matching, and a quasi-experimental shock to labor markets. Received March 21, 2014; editorial decision February 21, 2017 by Editor David Denis.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2593705280","article"
"Credit default swaps and corporate innovation","Xin Chang; Yangyang Chen; Sarah Qian Wang; Kuo Zhang; Le Zhang","2019","Journal of Financial Economics","249","True","https://dr.ntu.edu.sg/bitstream/10356/143478/2/CDSInnovation_JFE_final.pdf","https://doi.org/10.1016/j.jfineco.2017.12.012","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2604705349","article"
"The pandemic and economic policy uncertainty","Saud Asaad Althaqeb; Barrak Ghanim Algharabali; Khaled Tareq Alabdulghafour","2020","International Journal of Finance & Economics","220","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.2298","https://doi.org/10.1002/ijfe.2298","Abstract The events that occurred after the worldwide diffusion of COVID‐19 provide a real‐life example of how uncertainty can severely affect the global economy. This paper reviews literature on the negative impacts of the economic policy uncertainty index (EPU) on individuals, businesses, governments, and economies at the local and international levels. This reveals that a high EPU is associated with adverse effects on households, corporations, and governments, which tend to delay many financial decisions under high uncertainty, which leads to lower consumption, fewer issuances of debt, fewer investments, and higher unemployment. The effects of political and regulatory uncertainty also extend to the commodity markets, such as the adverse effects on both oil and gasoline markets, and can potentially create adverse impacts on the crypto‐currency market and its potential growth. We demonstrate that governmental uncertainty also affects financial, housing, and equity markets; debt issuances; and the entire economy. This underscores the importance of considering EPU as a risk factor. The association with several components of the global economy reflects not only the EPU index's critical influence, but also the importance of risk management. Our results lead us to consider the gravity of economic policy uncertainty and call for innovation across different sectors to mitigate its adverse effects.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3092265333","article"
"A New Era of Pollution Progress in Urban China?","Siqi Zheng; Matthew E. Kahn","2017","The Journal of Economic Perspectives","204","True","https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.31.1.71","https://doi.org/10.1257/jep.31.1.71","Over the last 30 years, China's economy has boomed. This trend has lifted hundreds of millions of Chinese out of poverty but it has also sharply increased local, regional, and global pollution levels. We look at the rise in air pollution over recent decades, and the perhaps surprising finding that in many of China's urban areas, levels of particulates (of less than 10 microns) have been decreasing during the last 10 to 15 years. We then turn to the costs and tradeoffs of air pollution, including costs to human health, reductions in worker productivity, and how people are seeking to reduce their exposure to pollution as shown by compensating differentials in real estate prices and purchases of masks and air filters. We discuss how rising incomes tend to raise the demand for environmental amenities and thus increase political pressure for environmental protection, and then we turn to the policy tools that China has used to reduce pollution. We conclude by arguing that as China's government is preparing for an additional 300 million people to move to urban areas over the next 30 years, it will have a number of opportunities for China to reduce pollution through a shift from manufacturing to services, along with various steps to improve energy efficiency and resource conservation. Overall, it seems that China is on track to improve its environmental performance in the years ahead.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2580719731","article"
"A bibliometric analysis of cash holdings literature: current status, development, and agenda for future research","Saleh F. A. Khatib; Dewi Fariha Abdullah; Ernie Hendrawaty; Ahmed A. Elamer","2021","Management Review Quarterly","139","True","https://link.springer.com/content/pdf/10.1007/s11301-021-00213-0.pdf","https://doi.org/10.1007/s11301-021-00213-0","Abstract Despite the growing interest in exploring the cash holding aspects among scholars, systematic reviews and comprehensive evaluation in this area has been limited. Also, there is only a fragmented understanding about how the cash holdings concept is formed among researchers and experts. We fill this gap in the literature by identifying and evaluating the research development of cash holdings topic. Using 874 articles from the Scopus database that were published between 1947 and early 2020, bibliometric and content analyses were employed to assess the patterns of global cash holdings research. We find that previous studies have substantially enriched our knowledge of the antecedents and consequences of cash holdings. Yet, there are still several opportunities to make significant contributions in this area. The contribution of this research is to provide a comprehensive evaluation of the development of cash holdings research (using a sizeable archival database). It identifies the current joint development and potential opportunities for future work directions on cash holdings association with payout policy, corporate social responsibility, and corporate governance. Our results are likely to be of interest to academics, practitioners, and educators in related business and finance fields.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3133961462","article"
"How Did Depositors Respond to COVID-19?","Ross Levine; Chen Lin; Mingzhu Tai; Wensi Xie","2021","Review of Financial Studies","108","True","https://academic.oup.com/rfs/article-pdf/34/11/5438/40724138/hhab062.pdf","https://doi.org/10.1093/rfs/hhab062","Abstract Why did banks experience massive deposit inflows during the pandemic? We discover that deposit interest rates at bank branches in counties with higher COVID-19 infection rates fell by more than rates at branches—even branches of the same bank—in counties with lower infection rates. Credit drawdowns, national policies, such as the Payment Protection Program, and a flight-to-safety do not account for these cross-branch changes in deposit rates. Evidence suggests that higher local COVID-19 infection rates are associated with households’ greater anxiety about future job and income losses, anxiety that induces households to reduce spending and increase deposits.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4206686905","article"
"Competitive pressure and firm investment efficiency: Evidence from corporate employment decisions","Sabri Boubaker; Viet Anh Dang; Syrine Sassi","2021","European Financial Management","95","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/eufm.12335","https://doi.org/10.1111/eufm.12335","Abstract This study examines the link between product market competition and labour investment efficiency. We find that competitive pressure distorts the efficiency of corporate employment decisions by creating an underinvestment problem. This finding withstands a battery of robustness checks and remains unchanged after accounting for endogeneity concerns. Additional analysis shows that the relationship between product market competition and labour investment efficiency is stronger for firms facing higher competitive threats, greater financial constraints, higher information asymmetry and higher labour adjustment costs. Our results suggest that as competition increases bankruptcy risk, it leads managers to underinvest in labour to avoid incurring labour‐related costs.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3152850303","article"
"Director Expertise and Corporate Sustainability","Peter Iliev; Lukas Roth","2023","European Finance Review","74","True","https://academic.oup.com/rof/advance-article-pdf/doi/10.1093/rof/rfad012/49871458/rfad012.pdf","https://doi.org/10.1093/rof/rfad012","Abstract We show that US firms increase their sustainability performance when their directors acquire expertise through their exposure to sustainability reforms in foreign countries where they serve as directors. Our results suggest that a board that gains sustainability expertise increases a firm’s overall sustainability performance by 7.1%. The increase in sustainability comes both from improvements in environmental and social practices. Directors also consider the tradeoffs between sustainability improvements and firm characteristics, with boards having a stronger impact on sustainability in firms from clean industries and firms that face fewer operational and financial constraints.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4362591222","article"
"GHG emissions and firm performance: The role of CEO gender socialization","Swarnodeep Homroy","2022","Journal of Banking & Finance","69","True","https://doi.org/10.1016/j.jbankfin.2022.106721","https://doi.org/10.1016/j.jbankfin.2022.106721","In this paper, I examine the effect of corporate greenhouse gas emissions (GHG) on profitability. I use the gender composition of the CEOs' children as an identification strategy to investigate the impact of GHG emissions on profits. CEOs who father a daughter are associated with a 10% reduction in GHG emissions. The reduction in emissions, in turn, improves profitability. A one standard deviation decrease in GHG emissions leads to a 0.14 standard deviations increase in profitability. Examining the channels, I show that CEOs with daughters are more likely to adopt a climate-integrated business strategy and set emission-reduction targets. Emission reduction affects profitability through both information advantage (protection from negative industry shocks, and lower cost of capital), and operational efficiency (lower operating costs and energy consumption) channels.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4309629458","article"
"Cross-Border Coordination of Prudential Supervision and Deposit Guarantees","Daniel Hardy; María J. Nieto","2011","SSRN Electronic Journal","62","True","https://doi.org/10.2139/ssrn.1942158","https://doi.org/10.2139/ssrn.1942158","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W1975893987","article"
"LINGUISTIC STRUCTURES AND ECONOMIC OUTCOMES","Astghik Mavisakalyan; Clas Weber","2017","Journal of Economic Surveys","56","False","","https://doi.org/10.1111/joes.12247","Abstract Linguistic structures have recently started to attract attention from economists as determinants of economic phenomena. This paper provides the first comprehensive review of this nascent literature and its achievements so far. First, we explore the complex connections between language, culture, thought and behaviour. Then, we summarize the empirical evidence on the relationship between linguistic structures and economic and social outcomes. We follow up with a discussion of data, empirical design and identification. The paper concludes by discussing implications for future research and policy.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2765289417","article"
"Credit risk spillovers and cash holdings","Jin Lei; Jiaping Qiu; Chi Wan; Fan Yu","2021","Journal of Corporate Finance","48","True","https://macsphere.mcmaster.ca/bitstream/11375/23310/1/sbv_wp_2018-06.pdf","https://doi.org/10.1016/j.jcorpfin.2021.101965","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3159798606","article"
"Employee protection shocks and corporate cash holdings","Christof Beuselinck; Garen Markarian; Arnt Verriest","2021","Journal of Corporate Finance","48","True","https://www.sciencedirect.com/science/article/am/pii/S0929119921001486","https://doi.org/10.1016/j.jcorpfin.2021.102027","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3174074680","article"
"ESG Reputational Risk, Corporate Payouts and Firm Value","Ioannis Chasiotis; Dimitrios Gounopoulos; Dimitrios Konstantios; Victoria Patsika","2023","British Journal of Management","47","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12745","https://doi.org/10.1111/1467-8551.12745","Abstract This study explores the relationship between ESG reputational risk, corporate payouts and firm value. Using a sample of 2021 US‐listed firms between 2007 and 2019, we provide robust evidence that ESG reputational risk relates to higher payouts, and that free cash flows amplify this relationship. Turning to payout composition, we document that ESG reputational risk associates with a payout mix comprising a higher analogy of share repurchases versus dividends; and that this relationship is more pronounced under financial constraints. Furthermore, we show that the market places a premium on payouts from high ESG reputational risk firms. Our findings are in line with the notion that ESG reputational risk represents agency problems and raises financial risk, inducing firms to disgorge cash via a more flexible payout regime. Results are robust to several estimation techniques that address endogeneity, self‐selection and censored observations.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4383621581","article"
"Does firm-level political risk affect cash holdings?","Shehub Bin Hasan; Md. Samsul Alam; Sudharshan Reddy Paramati; Md. Shahidul Islam","2022","Review of Quantitative Finance and Accounting","46","True","https://discovery.dundee.ac.uk/ws/files/72540740/Accepted_Version.pdf","https://doi.org/10.1007/s11156-022-01049-9","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4214910058","article"
"An analysis of involuntary excess reserves, monetary policy and risk-taking behaviour of Chinese Banks","Thai Vu Hong Nguyen; Agyenim Boateng","2014","International Review of Financial Analysis","46","True","https://researchonline.gcu.ac.uk/ws/files/24322212/Monetary_pol.pdf","https://doi.org/10.1016/j.irfa.2014.11.013","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2029705401","article"
"Can the marketization of urban land transfer improve energy efficiency?","Yanjun Yang; Rui Xue; Xiaoxi Zhang; Yutai Cheng; Yuli Shan","2022","Journal of Environmental Management","45","True","https://doi.org/10.1016/j.jenvman.2022.117126","https://doi.org/10.1016/j.jenvman.2022.117126","Local government intervention in land resource allocation can lead to the misallocation of land resources and serious pollutant emissions. As an important market-oriented economic reform in China, the marketization of urban land transfer (MULT) might have the potential to contribute to improving resource allocation efficiency by curbing local government intervention. Therefore, this study aims to provide empirical evidence on the impact of MULT on energy efficiency. We improve the MULT evaluation method to test the mechanism through which MULT affects energy efficiency. The results show that, first, the proportion of land sold by allocation and listing methods, which is characterized by a low degree of marketization, has rapidly increased in recent years, lowering the overall level of MULT. Second, MULT has a direct and significant positive impact on improving energy efficiency. Third, the mechanism analysis indicates that MULT helps enhance energy efficiency by advancing industrial structure optimization and technological progress. Moreover, the heterogeneity analysis demonstrates that the impact of MULT on improving energy efficiency differs significantly in different reform stages and between central and peripheral cities. This study sheds light on the importance of land resource allocation in improving energy efficiency and thus has practical policy implications for promoting low-carbon energy transition in emerging countries.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4312204234","article"
"Creditor Rights, Country Governance, and Corporate Cash Holdings","Bruce Seifert; Halit Gönenç","2015","Journal of International Financial Management and Accounting","44","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jifm.12033","https://doi.org/10.1111/jifm.12033","Abstract This study examines the impact of creditor rights and country governance on cash holdings using a sample of firms from 47 countries. We hypothesize that cash holdings are smaller when both creditor rights and country governance are high. In these circumstances firms will not need to hold as much cash for future investments needs (precautionary funds) because firms will expect that funds will be available in the future. Our findings support our hypothesis and hold for alternative definitions for cash holdings, different country samples, different definitions of governance and concerns about endogeneity.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W1829935642","article"
"Firm-level political risk and dividend payout","Muhammad Farooq Ahmad; Saqib Aziz; Rwan El‐Khatib; Oskar Kowalewski","2023","International Review of Financial Analysis","40","True","https://rennes-sb.hal.science/hal-04023055/document","https://doi.org/10.1016/j.irfa.2023.102546","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4318465124","article"
"Anti-corruption campaign and corporate cash holdings: Evidence from China","Weixing Cai; Feng Hu; Fangming Xu; Liyi Zheng","2021","Emerging Markets Review","39","True","https://research-information.bris.ac.uk/files/285845261/Manuscript_accepted_version.pdf","https://doi.org/10.1016/j.ememar.2021.100843","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3195807102","article"
"The role of ESG performance during times of COVID-19 pandemic","Min Gao; Xiulin Geng","2024","Scientific Reports","39","True","https://www.nature.com/articles/s41598-024-52245-7.pdf","https://doi.org/10.1038/s41598-024-52245-7","The outbreak of the epidemic in 2020 has caused a huge negative impact on the production and operation of firms, directly threatening their survival and development. However, some firms can make timely and effective adjustments in the face of sudden crises because of their resilience, and then turn the corner. This study selects the data of 2993 companies listed in Chinese A shares. The OLS method and event study is used to analyze the impact of ESG on the ability of corporate system crisis (corporate resilience). The research results indicate that companies with good ESG performance are more resilient in crises. The mechanism test indicates that the easing effect of corporate financing constraints and the expansion effect of corporate green innovation capabilities are important channels for ESG performance to promote the negative impact of crisis shocks on corporate value. Heterogeneity analysis indicates that ESG has a stronger ability to respond to systemic crises in small-scale firms, state-owned firms, and highly competitive market environments. Powerful CEOs can weaken ESG's ability to respond to systemic corporate crises. Further research has found that only S and G items, namely good governance level and social performance, have a significant positive promoting effect on corporate resilience. ESG performance may be more important in areas more severely affected by the epidemic. This study expands the research on ESG and the research on the decision mechanism of enterprise resilience. This study provides a new theoretical perspective for the study of corporate crisis response capabilities, and provides a certain policy reference for Chinese firms to effectively respond to public crises, which has important policy implications.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4391392673","article"
"The tax incentives and corporate cash holdings: Evidence from a quasi-natural experiment of an accelerated depreciation tax policy for fixed assets","Jing Zeng; Kam C. Chan","2023","International Review of Financial Analysis","37","False","","https://doi.org/10.1016/j.irfa.2023.102685","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4376869013","article"
"A Game Changer in Payment Habits: Evidence from Daily Data During a Pandemic","Guerino Ardizzi; Andrea Nobili; Giorgia Rocco","2020","SSRN Electronic Journal","36","True","https://doi.org/10.2139/ssrn.3826478","https://doi.org/10.2139/ssrn.3826478","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3153775897","article"
"The institutional determinants of peer effects on corporate cash holdings","Michael Machokoto; Chimwemwe Chipeta; Ngozi Ibeji","2021","Journal of International Financial Markets Institutions and Money","34","False","","https://doi.org/10.1016/j.intfin.2021.101378","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3176010953","article"
"Macroeconomic and Uncertainty Shocks’ Effects on Energy Prices: A Comprehensive Literature Review","Ioannis Dokas; Georgios Oikonomou; Minas Panagiotidis; Eleftherios Spyromitros","2023","Energies","33","True","https://www.mdpi.com/1996-1073/16/3/1491/pdf?version=1675407070","https://doi.org/10.3390/en16031491","GDP, monetary variables, corruption, and uncertainty are crucial to energy policy decisions in today’s interrelated world. The global energy crisis, aggravated by rising energy prices, has sparked a thorough analysis of its causes. We demonstrate the significance of categorizing research by influence channels while focusing on their implications for energy policy decisions. We investigate the growing number of studies that use GDP, inflation, central banks’ characteristics, corruption, and uncertainty as critical factors in determining energy policies. Energy prices fluctuate because energy policies shift the supply–demand equilibrium. We categorise the effects and show that GDP, economic policy uncertainty, and, most notably, specific economic conditions and extreme events play a significant role in determining energy prices. We observed that energy consumption, GDP growth, and energy prices have a bidirectional, causal relationship. Still, the literature has not established which causative direction is the most significant. Taxes, interest rates, and corruption also significantly determine energy prices, although the origins of corruption have not been adequately examined. Lastly, uncertainty generally increases energy costs, but this relationship requires additional research in terms of the features of countries, conditions, and, most importantly, the theoretical backgrounds used.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4319159045","article"
"Economic Impacts of <scp>SARS</scp>/<scp>MERS</scp>/<scp>COVID</scp>‐19 in Asian Countries","Satoshi Tanaka","2021","Asian Economic Policy Review","33","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/aepr.12363","https://doi.org/10.1111/aepr.12363","This paper surveys the recent literature on the economic impacts of SARS, MERS, and COVID‐19, which Asian countries have experienced in the past two decades. In particular, we provide a detailed summary of how each of the past infectious diseases has impacted on the Asian economies and the extent of that impact. This paper also documents how the governments of Asian countries have responded to the COVID‐19 shocks with their economic policies, and discusses the effectiveness of these economic policies to mitigate the COVID‐19 shocks on their economies.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3197956271","article"
"Environmental taxes and corporate cash holdings: Evidence from China","Guangqiang Liu; Lingyun Zhang; Ziqin Xie","2022","Pacific-Basin Finance Journal","30","False","","https://doi.org/10.1016/j.pacfin.2022.101888","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4309475973","article"
"Implications of global carbon governance for corporate carbon emissions reduction","Yunjing Wang; Guiying Yao; Ying Zuo; Qichun Wu","2023","Frontiers in Environmental Science","30","True","https://www.frontiersin.org/articles/10.3389/fenvs.2023.1071658/pdf","https://doi.org/10.3389/fenvs.2023.1071658","Global warming not only affects biodiversity, but also threatens human health and wellbeing. As the main source of greenhouse gas emissions, enterprises play a critical role in carbon emissions reduction. However, only a small number of enterprises have disclosed their “low-carbon transition roadmap”, primarily due to the lack of immediate payoffs of green investment, which is disadvantageous to achieve net-zero emissions. First, through case analysis of carbon governance in typical countries around the world, we identify effective emissions reduction measures that firms can learn from. Next, this paper summarizes the multi-dimensional impact framework of corporate carbon emissions reduction. Last, we propose a carbon emissions reduction roadmap for companies from four aspects: companies should 1) actively engage in the carbon emissions trading system, 2) increase the application of green technology, 3) enhance corporate governance structure, and 4) ensure sufficient cash flow for low-carbon transition. This study contributes to the framework of corporate sustainable transition, providing practical references for balancing corporate environmental footprint and value growth.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4316363221","article"
"Shaped by Booms and Busts: How the Economy Impacts CEO Careers and Management Styles","Antoinette Schoar; Luo Zuo","2016","Review of Financial Studies","411","True","https://academic.oup.com/rfs/article-pdf/30/5/1425/24433927/hhw111.pdf","https://doi.org/10.1093/rfs/hhw111","We show that economic conditions when managers enter the labor market have long-run effects on their career paths and managerial styles. Managers who began their careers during recessions become CEOs more quickly, but at smaller firms. They also have more conservative styles, such as lower investment in capital expenditures and research and development, more cost cutting, and lower leverage and working capital needs. These recession effects appear to be largely driven by the characteristics of the CEO's first job (recession CEOs tend to start in smaller or private firms), which suggests that the early work environment is important to the formation and selection of managers. (","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W2890069351","article"
"Financial flexibility, corporate investment and performance: evidence from financial crises","Özgür Arslan‐Ayaydin; Chris Florackis; Aydin Ozkan","2013","Review of Quantitative Finance and Accounting","236","True","https://hull-repository.worktribe.com/output/469483","https://doi.org/10.1007/s11156-012-0340-x","","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W3121341217","article"
"Payout Policy","Joan Farre-Mensa; Roni Michaely; Martin C. Schmalz","2014","Annual Review of Financial Economics","214","True","https://www.annualreviews.org/doi/pdf/10.1146/annurev-financial-110613-034259","https://doi.org/10.1146/annurev-financial-110613-034259","We survey the literature on payout policy, with a particular emphasis on developments in the past two decades. The cross-sectional empirical evidence for the traditional motivations behind firms paying out (agency, signaling, and taxes) is most persuasive with regard to agency considerations. Studies centered on the May 2003 dividend tax cut confirm that differences in the taxation of dividends and capital gains have only a second-order impact on setting payout policy. None of the three traditional explanations can account for secular changes in how payouts have been made over the past 30 years, during which repurchases have replaced dividends as the prime vehicle for corporate payouts. Other payout motivations, such as changes in compensation practices and management incentives, are better able to explain the observed variation in payout patterns over time than the traditional motivations. The most recent evidence suggests that further insights can be gained from viewing payout decisions as an integral part of a firm’s larger financial ecosystem, with important implications for financing, investment, and risk management.","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W4241462179","article"
"Can Corporate Income Tax Cuts Stimulate Innovation?","Julian Atanassov; Xiaoding Liu","2019","Journal of Financial and Quantitative Analysis","181","True","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/158008954E218B436A4391EDAD69DC9F/S0022109019000152a.pdf/div-class-title-can-corporate-income-tax-cuts-stimulate-innovation-div.pdf","https://doi.org/10.1017/s0022109019000152","We hypothesize that corporate income taxes distort firms’ incentives to innovate by reducing their pledgeable income. Using a differences-in-differences methodology, we document that large corporate income tax cuts boost corporate innovation. We find a similar but opposite effect for tax increases. Most of the change in innovation occurs 2 or more years after the tax change, and there’s no effect before the tax change. Exploring the mechanisms, we show that tax cuts have a stronger impact on innovation for firms with weaker governance, greater financial constraints, fewer tangible assets, smaller patent stock, and a greater degree of tax avoidance.","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W3124631624","article"
"Climate change and corporate cash holdings: Global evidence","Siamak Javadi; Abdullah Al Masum; Mohsen Aram; Ramesh P. Rao","2023","Financial Management","134","False","","https://doi.org/10.1111/fima.12420","Abstract Using data from 41 countries, we provide novel empirical evidence that firms’ cash holdings are positively associated with their climate change exposure. This evidence is robust to different model specifications and survives a battery of tests to ease concerns related to spurious correlation and omitted variable bias. Using the release of the Stern Review as an exogenous shock to climate change awareness, we show that this association becomes significantly stronger after the release of the Review and particularly so for firms with higher exposure to regulatory and transition risk dimensions of climate change as well as financially constrained firms. Overall, results fit consistently within the precautionary motive framework and suggest that firms hold more cash to safeguard against the adverse impact of climate change.","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W4367048894","article"
"To what extent does corporate liquidity affect M&amp;A decisions, method of payment and performance? Evidence from China","Junhong Yang; Alessandra Guariglia; Jie Guo","2017","Journal of Corporate Finance","121","True","https://doi.org/10.1016/j.jcorpfin.2017.09.012","https://doi.org/10.1016/j.jcorpfin.2017.09.012","Using a panel of Chinese listed firms over the period 1998–2015, we examine the extent to which liquidity impacts firms' acquisition decisions, method of payment choice, and performance following mergers. We observe that cash-rich firms are more likely to attempt acquisitions, especially if they are subject to tunneling. Next, we find that bidders with higher growth opportunities are less likely to use cash payments in acquisitions. This effect is stronger for financially constrained bidders, who face greater opportunity costs of holding cash. Our last set of results highlights the under-performance of cash acquisitions in both the short and long term.","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W2763474002","article"
"Does a firm’s supplier concentration affect its cash holding?","Xindong Zhang; Meifeng Zou; Weimin Liu; Yuefei Zhang","2020","Economic Modelling","109","True","https://www.sciencedirect.com/science/article/pii/S0264999319309770?via%3Dihub","https://doi.org/10.1016/j.econmod.2020.01.025","High supplier concentration (SC) of a firm can weaken the firm’s bargaining power, which reduces its profitability and internal funds. Also, high SC likely increases the firm’s exposure to supply shocks, which results in high costs of external financing. Consequently, high-SC firms will incline to hold more cash due to the precautionary concern. However, there is little research into the effect of SC on cash holdings. This paper investigates how SC affects cash holdings with Chinese firms over 2009–2016. We find that a firm’s cash holding increases with its SC. Further investigations show that this positive relation stems from the unfavorable impact of SC on trade credit and equity financing. Our results are robust to different tests including the instrumental variable approach and the propensity score matching. Our findings are new to the literature and help to explain the cash holding puzzle. Our study also indicates that choosing supplier concentration adequately is important in maintaining a firm’s financial health.","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W3003619142","article"
"Flexible prices and leverage","Francesco D’Acunto; Ryan Liu; Carolin Pflueger; Michael Weber","2018","Journal of Financial Economics","107","True","http://www.nber.org/papers/w23066.pdf","https://doi.org/10.1016/j.jfineco.2018.03.009","","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W3125611004","article"
"Some Borrowers are More Equal than Others: Bank Funding Shocks and Credit Reallocation","Olivier De Jonghe; Hans Dewachter; Klaas Mulier; Steven Ongena; Glenn Schepens","2016","SSRN Electronic Journal","100","True","https://doi.org/10.2139/ssrn.2774441","https://doi.org/10.2139/ssrn.2774441","","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W2347117225","article"
"The role of financial conditions in portfolio choices: The case of insurers","Shan Ge; Michael S. Weisbach","2021","Journal of Financial Economics","86","True","http://www.nber.org/papers/w25677.pdf","https://doi.org/10.1016/j.jfineco.2021.05.019","","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W2946369288","article"
"Where Do Institutional Investors Seek Shelter when Disaster Strikes? Evidence from COVID-19","Simon Gloßner; Pedro Matos; Stefano Ramelli; Alexander F. Wagner","2020","SSRN Electronic Journal","72","True","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3655271","https://doi.org/10.2139/ssrn.3655271","","query: ""cash holdings"" ""exogenous shock"" precautionary","https://openalex.org/W3046102703","article"
